[2025-12-16T00:39:17,266][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [repositories-metering-api]
[2025-12-16T00:39:17,266][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [transform]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [repository-azure]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [dot-prefix-validation]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [repository-gcs]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [spatial]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-otel-data]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [apm]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [mapper-extras]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [mapper-version]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-rollup]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [percolator]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-migrate]
[2025-12-16T00:39:17,267][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [data-streams]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-stack]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [rank-eval]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [reindex]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [streams]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-security]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [blob-cache]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [searchable-snapshots]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [gpu]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-slm]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-geoip-enterprise-downloader]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [snapshot-based-recoveries]
[2025-12-16T00:39:17,268][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-watcher]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [old-lucene-versions]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-ilm]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-inference]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-voting-only-node]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-deprecation]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-fleet]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-profiling]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-aggregate-metric]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-downsample]
[2025-12-16T00:39:17,269][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [ingest-geoip]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-write-load-forecaster]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [exponential-histogram]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [wildcard]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [ingest-attachment]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-apm-data]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [unsigned-long]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-sql]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [runtime-fields-common]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-async]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [vector-tile]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-kql]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [lang-expression]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [ingest-otel]
[2025-12-16T00:39:17,270][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-eql]
[2025-12-16T00:39:17,453][WARN ][stderr                   ] [node-1] SLF4J: No SLF4J providers were found.
[2025-12-16T00:39:17,453][WARN ][stderr                   ] [node-1] SLF4J: Defaulting to no-operation (NOP) logger implementation
[2025-12-16T00:39:17,453][WARN ][stderr                   ] [node-1] SLF4J: See https://www.slf4j.org/codes.html#noProviders for further details.
[2025-12-16T00:39:18,020][INFO ][o.e.e.NodeEnvironment    ] [node-1] using [1] data paths, mounts [[/System/Volumes/Data (/dev/disk3s5)]], net usable_space [858gb], net total_space [926.3gb], types [apfs]
[2025-12-16T00:39:18,020][INFO ][o.e.e.NodeEnvironment    ] [node-1] heap size [31gb], compressed ordinary object pointers [true]
[2025-12-16T00:39:18,029][INFO ][o.e.n.Node               ] [node-1] node name [node-1], node ID [Udyp8HfyRju7keE3PC5_Ig], cluster name [my-application], roles [remote_cluster_client, data, data_cold, ingest, data_frozen, ml, data_hot, transform, data_content, data_warm, master]
[2025-12-16T00:39:19,477][INFO ][o.e.f.FeatureService     ] [node-1] Registered local node features [ES_V_8, ES_V_9, cluster.reroute.ignores_metric_param, cluster.stats.source_modes, data_stream.failure_store, inference.endpoint.cache, ingest.field_access_pattern, linear_retriever_supported, lucene_10_1_upgrade, lucene_10_upgrade, resolve_index_returns_mode, security.queryable_built_in_roles, security_stats_endpoint, simulate.ignored.fields, snapshots.get.state_parameter]
[2025-12-16T00:39:19,594][INFO ][o.e.i.r.RecoverySettings ] [node-1] using rate limit [40mb] with [default=40mb, read=0b, write=0b, max=0b]
[2025-12-16T00:39:19,693][INFO ][o.e.c.m.DataStreamGlobalRetentionSettings] [node-1] Updated global default retention to [null]
[2025-12-16T00:39:19,693][INFO ][o.e.c.m.DataStreamGlobalRetentionSettings] [node-1] Updated global max retention to [null]
[2025-12-16T00:39:19,693][INFO ][o.e.c.m.DataStreamGlobalRetentionSettings] [node-1] Updated failures default retention to [30d]
[2025-12-16T00:39:19,694][INFO ][o.e.c.m.DataStreamFailureStoreSettings] [node-1] Updated data stream name patterns for enabling failure store to [[]]
[2025-12-16T00:39:19,922][INFO ][o.e.x.m.p.l.CppLogMessageHandler] [node-1] [controller/1872] [Main.cc@123] controller (64 bit): Version 9.2.2 (Build 82b5e473b647ce) Copyright (c) 2025 Elasticsearch BV
[2025-12-16T00:39:20,128][INFO ][o.e.x.o.OTelPlugin       ] [node-1] OTel ingest plugin is enabled
[2025-12-16T00:39:20,145][INFO ][o.e.x.c.t.YamlTemplateRegistry] [node-1] OpenTelemetry index template registry is enabled
[2025-12-16T00:39:20,147][INFO ][o.e.t.a.APM              ] [node-1] Sending apm metrics is disabled
[2025-12-16T00:39:20,147][INFO ][o.e.t.a.APM              ] [node-1] Sending apm tracing is disabled
[2025-12-16T00:39:20,167][INFO ][o.e.x.s.Security         ] [node-1] Security is enabled
[2025-12-16T00:39:20,553][INFO ][o.e.x.s.a.s.FileRolesStore] [node-1] parsed [0] roles from file [/Users/horiastanescu/LoginAttempt/elasticsearch/elasticsearch-9.2.2/config/roles.yml]
[2025-12-16T00:39:20,831][INFO ][o.e.x.w.Watcher          ] [node-1] Watcher initialized components at 2025-12-15T22:39:20.831Z
[2025-12-16T00:39:20,896][INFO ][o.e.x.p.ProfilingPlugin  ] [node-1] Profiling is enabled
[2025-12-16T00:39:20,905][INFO ][o.e.x.p.ProfilingPlugin  ] [node-1] profiling index templates will not be installed or reinstalled
[2025-12-16T00:39:20,913][INFO ][o.e.x.a.APMPlugin        ] [node-1] APM ingest plugin is enabled
[2025-12-16T00:39:20,927][INFO ][o.e.x.c.t.YamlTemplateRegistry] [node-1] apm index template registry is enabled
[2025-12-16T00:39:21,192][WARN ][stderr                   ] [node-1] SLF4J: No SLF4J providers were found.
[2025-12-16T00:39:21,193][WARN ][stderr                   ] [node-1] SLF4J: Defaulting to no-operation (NOP) logger implementation
[2025-12-16T00:39:21,193][WARN ][stderr                   ] [node-1] SLF4J: See https://www.slf4j.org/codes.html#noProviders for further details.
[2025-12-16T00:39:21,193][WARN ][stderr                   ] [node-1] SLF4J: Class path contains SLF4J bindings targeting slf4j-api versions 1.7.x or earlier.
[2025-12-16T00:39:21,193][WARN ][stderr                   ] [node-1] SLF4J: Ignoring binding found at [jar:file:///Users/horiastanescu/LoginAttempt/elasticsearch/elasticsearch-9.2.2/modules/x-pack-core/log4j-slf4j-impl-2.19.0.jar!/org/slf4j/impl/StaticLoggerBinder.class]
[2025-12-16T00:39:21,194][WARN ][stderr                   ] [node-1] SLF4J: See https://www.slf4j.org/codes.html#ignoredBindings for an explanation.
[2025-12-16T00:39:21,219][INFO ][o.e.t.n.NettyAllocator   ] [node-1] creating NettyAllocator with the following configs: [name=elasticsearch_configured, chunk_size=1mb, suggested_max_allocation_size=1mb, factors={es.unsafe.use_netty_default_chunk_and_page_size=false, g1gc_enabled=true, g1gc_region_size=16mb}]
[2025-12-16T00:39:21,267][INFO ][o.e.d.DiscoveryModule    ] [node-1] using discovery type [multi-node] and seed hosts providers [settings]
[2025-12-16T00:39:22,059][INFO ][o.e.n.Node               ] [node-1] initialized
[2025-12-16T00:39:22,060][INFO ][o.e.n.Node               ] [node-1] starting ...
[2025-12-16T00:39:26,912][INFO ][o.e.x.s.c.f.PersistentCache] [node-1] persistent cache index loaded
[2025-12-16T00:39:26,913][INFO ][o.e.x.d.l.DeprecationIndexingComponent] [node-1] deprecation component started
[2025-12-16T00:39:26,977][INFO ][o.e.t.TransportService   ] [node-1] publish_address {192.168.100.127:9300}, bound_addresses {[::]:9300}
[2025-12-16T00:39:27,081][INFO ][o.e.b.BootstrapChecks    ] [node-1] bound or publishing to a non-loopback address, enforcing bootstrap checks
[2025-12-16T00:39:27,083][INFO ][o.e.c.c.ClusterBootstrapService] [node-1] this node has not joined a bootstrapped cluster yet; [cluster.initial_master_nodes] is set to [node-1]
[2025-12-16T00:39:27,089][INFO ][o.e.c.c.Coordinator      ] [node-1] setting initial configuration to VotingConfiguration{Udyp8HfyRju7keE3PC5_Ig}
